,tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,cosin_simularity
19,226000.0,1,1,690.0,1997,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,60,3,9,15,156,3,30,12,36.0,47.0,83.0,221.0,67.0,8.0,3.0,2008,0.9999999999999997
35,232000.0,1,1,736.0,1998,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,31,3,7,8,77,1,14,11,36.0,47.0,83.0,243.0,74.0,8.0,3.0,2008,0.9999998624950038
32,235000.0,1,1,723.0,2005,0,Apartment / Condo / Townhouse,Stucco,Other,1.0,102,8,8,11,103,4,47,34,31.0,30.0,99.0,278.0,85.0,8.0,3.0,2009,0.9999998158989334
92,225000.0,2,1,768.0,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8,1,0,3,9,2,10,9,35.0,29.0,73.0,192.0,58.0,4.0,3.0,2006,0.9999996635011106
48,220000.0,1,1,792.0,1987,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,31,5,4,4,33,0,37,11,35.0,50.0,82.0,221.0,67.0,8.0,3.0,2009,0.9999996444641553
93,230000.0,2,1,793.0,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,10,1,0,4,10,2,10,10,35.0,29.0,73.0,196.0,59.0,4.0,3.0,2004,0.9999995899182493
51,220000.0,1,1,800.0,1985,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,18,1,0,3,15,0,5,11,39.0,64.0,81.0,184.0,56.0,6.0,3.0,2015,0.9999995417866145
24,240000.0,1,1,703.0,1992,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,82,6,7,8,45,6,52,13,30.0,46.0,36.0,139.0,42.0,7.0,3.0,2005,0.9999994630177084
17,218000.0,1,1,689.0,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,150,6,20,27,329,12,83,46,32.0,33.0,92.0,188.0,57.0,10.0,3.0,2009,0.9999994173496886
170,237500.0,2,2,886.0,1982,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,19,3,1,5,28,3,9,13,48.0,40.0,59.0,198.0,60.0,7.0,1.0,2014,0.9999993607420081
14,210000.0,1,1,680.0,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8,1,0,3,10,1,10,10,60.0,15.0,63.0,147.0,44.0,4.0,3.0,2006,0.9999993293004833
181,230000.0,2,2,951.0,1988,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,49,6,6,5,47,5,30,17,39.0,37.0,55.0,209.0,63.0,6.0,3.0,2012,0.9999992541365812
123,238900.0,2,1,960.0,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,72,9,8,9,100,10,97,25,40.0,68.0,73.0,195.0,59.0,9.0,3.0,2013,0.9999991405649491
79,239000.0,1,1,945.0,1984,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,21,3,1,5,28,3,9,13,48.0,40.0,59.0,184.0,56.0,7.0,1.0,2007,0.999999113682231
84,225000.0,1,1,1005.0,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,66,10,5,10,23,6,49,14,56.0,24.0,66.0,184.0,56.0,5.0,3.0,2014,0.9999987947268826
200,225000.0,2,2,1038.0,1991,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,82,5,8,8,45,6,50,13,30.0,46.0,36.0,184.0,56.0,7.0,3.0,2008,0.9999986166915575
227,240000.0,2,2,1104.0,2003,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,70,9,4,6,162,4,42,23,34.0,48.0,62.0,239.0,73.0,9.0,3.0,2009,0.9999985413216779
143,228000.0,2,1,1070.0,1972,0,Single-Family,Brick,Composition Shingle,1.0,34,2,0,3,25,6,13,20,47.0,51.0,77.0,184.0,56.0,7.0,3.0,2014,0.9999984381229643
208,250000.0,2,2,1050.0,1996,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,23,3,1,0,13,4,14,17,33.0,35.0,83.0,245.0,74.0,5.0,3.0,2014,0.9999984077109927
120,214000.0,2,1,952.0,1964,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,129,8,22,25,318,7,102,34,36.0,42.0,67.0,202.0,61.0,8.0,3.0,2010,0.9999983954540599
225,243000.0,2,2,1100.0,1997,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,44,16,1,4,56,3,21,6,37.0,62.0,55.0,204.0,62.0,4.0,3.0,2007,0.9999983918863299
205,250000.0,2,2,1044.0,1986,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,18,2,1,6,19,1,7,4,39.0,72.0,62.0,204.0,62.0,8.0,3.0,2007,0.9999983647871035
229,240000.0,2,2,1108.0,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,62,15,4,5,83,3,15,11,43.0,73.0,41.0,327.0,99.0,3.0,3.0,2002,0.9999983009756821
230,250000.0,2,2,1112.0,1974,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,67,3,11,13,113,3,28,15,41.0,22.0,75.0,228.0,69.0,8.0,3.0,2010,0.99999818778763
257,245000.0,2,2,1170.0,1984,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,98,18,18,18,93,8,49,20,52.0,33.0,53.0,213.0,64.0,3.0,3.0,2009,0.9999979249861559
214,218000.0,2,2,1075.0,1986,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,0,0,0,0,3,0,1,1,41.0,69.0,77.0,191.0,58.0,9.0,3.0,2013,0.9999978497168917
82,269000.0,1,1,966.0,1996,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,110,12,10,14,102,12,60,44,52.0,42.0,63.0,241.0,73.0,7.0,3.0,2006,0.999997749402293
259,255000.0,2,2,1170.0,1998,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,40,6,3,3,37,5,26,15,40.0,51.0,72.0,249.0,76.0,6.0,3.0,2010,0.9999976577937086
31,270000.0,1,1,722.0,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,101,8,8,11,74,4,30,26,33.0,48.0,85.0,218.0,66.0,4.0,3.0,2005,0.9999976498574724
266,245000.0,2,2,1195.0,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,62,10,5,7,24,5,50,12,56.0,24.0,66.0,254.0,77.0,5.0,3.0,2012,0.999997636541762
192,270000.0,2,2,998.0,1989,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,40,3,1,7,129,3,29,10,35.0,69.0,80.0,204.0,62.0,9.0,3.0,2005,0.9999975870124033
73,200000.0,1,1,914.0,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,95,18,19,18,92,6,49,21,52.0,33.0,53.0,180.0,54.0,3.0,3.0,2007,0.9999975367732927
177,201953.0,2,2,940.0,1986,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,80,4,3,13,173,2,47,37,30.0,49.0,33.0,150.0,38.0,6.5,2.0,2016,0.9999975272754482
75,270000.0,1,1,920.0,1978,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,33,5,4,5,29,2,21,17,34.0,66.0,72.0,168.0,51.0,8.0,3.0,2005,0.9999974743971027
228,265000.0,2,2,1107.0,1990,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,50,5,2,5,21,0,18,12,31.0,62.0,32.0,258.0,78.0,8.0,3.0,2012,0.9999974278169291
1154,219900.0,4,3,1140.0,1985,0,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1.0,11,2,0,4,9,3,5,12,32.0,54.0,62.0,254.0,77.0,7.0,1.0,2003,0.9999974228625529
